rank,attester,numMarkets,sumTwError,accuracyScore
1,0xd491e93c6b05e3cda3073482a5651bcfe3dc1cc7,2,2566894.000000,1283447.000000
2,0xa89ea8ce3b82b827c31f19045af231c4c2d2663d,4,2496562.318800,624140.579700
3,0xdb5af497a73620d881561edb508012a5f84e9ba2,4,1329020.124310,332255.031077
4,0x0d874e6141e3ee1c6b24ede381c663c1e16214db,12,2634691.455635,219557.621303
5,0x77889eaac9ca631cb2874fdef06c4f60bbc433f8,24,5207573.589980,216982.232916
6,0xa8a908511c760e2a03469c1207090ffcc918a0b8,7,1397118.447400,199588.349629
7,0x4d3d050659d450b365e070e0e2b0c5391b9e6db8,10,1786143.088115,178614.308811
8,0x5f6dae1ab75d5c36badc6e55734ef3698fa79b9e,25,4405233.444433,176209.337777
9,0x365ec3909f4bcd276a157f5e82f6da64968e3ebb,5,832553.084700,166510.616940
10,0xcfc39b4db2b974b77c0131f696eccd93dc4defb7,10,1527598.722000,152759.872200
11,0xfa80d2f8808eb016fa90cdcdc21ae48fee93db94,79,10325163.229494,130698.268728
12,0xc370ac37b8247df21fe16db239aab1343540a2d1,42,5133474.332400,122225.579343
13,0x0729f5383b3110d57416636d3804b17550b1e1bd,43,4591756.578315,106785.036705
14,0x207745a15e941b76454c9326c8e77f41d5961f8c,12,1250394.147676,104199.512306
15,0x4f1abd0e5c4506c95a4fd5259371bd9a877d9488,47,4496692.459600,95674.307651
16,0x385204dd4b43e874c60f1abd40c2563a500714e2,15,1377961.757598,91864.117173
17,0x76cb10e37845ab98cc51b8500137694369f2df64,1,78152.166400,78152.166400
18,0xd887b576465168527b2436a7f61af812e20c5bb9,45,2797736.708572,62171.926857
19,0x7a95fbe067a546c7fed918e7314a932eb5a69fd5,14,735981.328332,52570.094881
20,0x29f9ff5bb613ec5121283bd171931a8b21b1c2cd,60,3059990.068661,50999.834478
21,0x89d3c492f425012ec7b10683709dac16d63ef4d3,2,30950.184300,15475.092150
22,0xc8f0d4ff31166daf37804c20eefd059e041e64dc,255,2174605.636312,8527.865240
23,0x99958fed22f3bb689c4e35c8e61fa25de33d9999,1,4780.020000,4780.020000
24,0xe006cdcaa3d63b0084d33c35241168a53f9b6db8,1,4616.055000,4616.055000
