rank,owner,totalPnL
1,0x4f1abd0e5c4506c95a4fd5259371bd9a877d9488,45.747808
2,0x8b4eefc20a02650114a2e7c1b3c7431db3a05898,12.251649
3,0xc370ac37b8247df21fe16db239aab1343540a2d1,9.538256
4,0xed1ff0c0861a125f2b8de24ceb875abd3350ead6,5.095972
5,0x6266d78bbcc5dadf193961f3014afbcd3e1fb1d8,2.630069
6,0x2360b930a60266dbe9f9d993795fe34556c2ea03,2.479908
7,0xfa80d2f8808eb016fa90cdcdc21ae48fee93db94,0.953000
8,0x89d3c492f425012ec7b10683709dac16d63ef4d3,0.574045
9,0x5f6dae1ab75d5c36badc6e55734ef3698fa79b9e,0.082603
10,0x09745448f386ec8994f0a38a853d909173a8660f,0.029489
11,0x314ace01c6b2e5e16113036fb1f6286c509fc373,-0.020000
12,0x4d3d050659d450b365e070e0e2b0c5391b9e6db8,-0.182224
13,0x207745a15e941b76454c9326c8e77f41d5961f8c,-0.200000
14,0x12555566cb3f20704b34e89a6a3869c952d66245,-0.300000
15,0x512dd660908c752afe593453c53ba8d2dd3053b7,-0.400000
16,0xdc685335f149d9b008f2b48befcea42def791033,-0.630000
17,0x983bb8de091cef0d63ee9573bf902c6233c5c124,-1.000000
18,0x0dc63a9be81db634e786aa121ddb5244502be4a4,-1.196979
19,0x29f9ff5bb613ec5121283bd171931a8b21b1c2cd,-2.400000
20,0x365ec3909f4bcd276a157f5e82f6da64968e3ebb,-4.460000
21,0xdb5af497a73620d881561edb508012a5f84e9ba2,-17.437567
22,0x5c1d4fed296d2637205ac132ce3e030f5d94d026,-51.156026
